TVDB_ID,IMDB_ID,SERIES_NAME,SEASON,EPISODE,ENDED
72549,,Big Brother (UK),2,30,false
72549,,Big Brother (UK),2,31,false
72549,,Big Brother (UK),2,32,false
72549,,Big Brother (UK),2,33,false
72549,,Big Brother (UK),2,34,false
72549,,Big Brother (UK),2,35,false
72549,,Big Brother (UK),2,36,false
72549,,Big Brother (UK),2,37,false
72549,,Big Brother (UK),2,38,false
72549,,Big Brother (UK),2,39,false
72549,,Big Brother (UK),2,40,false
72549,,Big Brother (UK),2,41,false
72549,,Big Brother (UK),2,42,false
72549,,Big Brother (UK),2,43,false
72549,,Big Brother (UK),2,44,false
72549,,Big Brother (UK),2,45,false
72549,,Big Brother (UK),2,46,false
72549,,Big Brother (UK),2,47,false
72549,,Big Brother (UK),2,48,false
72549,,Big Brother (UK),2,49,false
72549,,Big Brother (UK),2,50,false
72549,,Big Brother (UK),2,51,false
72549,,Big Brother (UK),2,52,false
72549,,Big Brother (UK),2,53,false
72549,,Big Brother (UK),2,54,false
72549,,Big Brother (UK),2,55,false
72549,,Big Brother (UK),2,56,false
72549,,Big Brother (UK),2,57,false
72549,,Big Brother (UK),2,58,false
72549,,Big Brother (UK),2,59,false
72549,,Big Brother (UK),2,60,false
72549,,Big Brother (UK),2,61,false
72549,,Big Brother (UK),2,62,false
72549,,Big Brother (UK),2,63,false
72549,,Big Brother (UK),2,64,false
72549,,Big Brother (UK),2,65,false
72549,,Big Brother (UK),2,66,false
72549,,Big Brother (UK),2,67,false
72549,,Big Brother (UK),3,1,false
72549,,Big Brother (UK),3,2,false
72549,,Big Brother (UK),3,3,false
72549,,Big Brother (UK),3,4,false
72549,,Big Brother (UK),3,5,false
72549,,Big Brother (UK),3,6,false
72549,,Big Brother (UK),3,7,false
72549,,Big Brother (UK),3,8,false
72549,,Big Brother (UK),3,9,false
72549,,Big Brother (UK),3,10,false
72549,,Big Brother (UK),3,11,false
72549,,Big Brother (UK),3,12,false
72549,,Big Brother (UK),3,13,false
72549,,Big Brother (UK),3,14,false
72549,,Big Brother (UK),3,15,false
72549,,Big Brother (UK),3,16,false
72549,,Big Brother (UK),3,17,false
72549,,Big Brother (UK),3,18,false
72549,,Big Brother (UK),3,19,false
72549,,Big Brother (UK),3,20,false
72549,,Big Brother (UK),3,21,false
72549,,Big Brother (UK),3,22,false
72549,,Big Brother (UK),3,23,false
72549,,Big Brother (UK),3,24,false
72549,,Big Brother (UK),3,25,false
72549,,Big Brother (UK),3,26,false
72549,,Big Brother (UK),3,27,false
72549,,Big Brother (UK),3,28,false
72549,,Big Brother (UK),3,29,false
72549,,Big Brother (UK),3,30,false
72549,,Big Brother (UK),3,31,false
72549,,Big Brother (UK),3,32,false
72549,,Big Brother (UK),3,33,false
72549,,Big Brother (UK),3,34,false
72549,,Big Brother (UK),3,35,false
72549,,Big Brother (UK),3,36,false
72549,,Big Brother (UK),3,37,false
72549,,Big Brother (UK),3,38,false
72549,,Big Brother (UK),3,39,false
72549,,Big Brother (UK),3,40,false
72549,,Big Brother (UK),3,41,false
72549,,Big Brother (UK),3,42,false
72549,,Big Brother (UK),3,43,false
72549,,Big Brother (UK),3,44,false
72549,,Big Brother (UK),3,45,false
72549,,Big Brother (UK),3,46,false
72549,,Big Brother (UK),3,47,false
72549,,Big Brother (UK),3,48,false
72549,,Big Brother (UK),3,49,false
72549,,Big Brother (UK),3,50,false
72549,,Big Brother (UK),3,51,false
72549,,Big Brother (UK),3,52,false
72549,,Big Brother (UK),3,53,false
72549,,Big Brother (UK),3,54,false
72549,,Big Brother (UK),3,55,false
72549,,Big Brother (UK),3,56,false
72549,,Big Brother (UK),3,57,false
72549,,Big Brother (UK),3,58,false
72549,,Big Brother (UK),3,59,false
72549,,Big Brother (UK),3,60,false
72549,,Big Brother (UK),3,61,false
72549,,Big Brother (UK),3,62,false
72549,,Big Brother (UK),3,63,false
72549,,Big Brother (UK),3,64,false
72549,,Big Brother (UK),3,65,false
72549,,Big Brother (UK),3,66,false
72549,,Big Brother (UK),3,67,false
72549,,Big Brother (UK),3,68,false
72549,,Big Brother (UK),3,69,false
72549,,Big Brother (UK),3,70,false
72549,,Big Brother (UK),3,71,false
72549,,Big Brother (UK),3,72,false
72549,,Big Brother (UK),3,73,false
72549,,Big Brother (UK),3,74,false
72549,,Big Brother (UK),4,1,false
72549,,Big Brother (UK),4,2,false
72549,,Big Brother (UK),4,3,false
72549,,Big Brother (UK),4,4,false
72549,,Big Brother (UK),4,5,false
72549,,Big Brother (UK),4,6,false
72549,,Big Brother (UK),4,7,false
72549,,Big Brother (UK),4,8,false
72549,,Big Brother (UK),4,9,false
72549,,Big Brother (UK),4,10,false
72549,,Big Brother (UK),4,11,false
72549,,Big Brother (UK),4,12,false
72549,,Big Brother (UK),4,13,false
72549,,Big Brother (UK),4,14,false
72549,,Big Brother (UK),4,15,false
72549,,Big Brother (UK),4,16,false
72549,,Big Brother (UK),4,17,false
72549,,Big Brother (UK),4,18,false
72549,,Big Brother (UK),4,19,false
72549,,Big Brother (UK),4,20,false
72549,,Big Brother (UK),4,21,false
72549,,Big Brother (UK),4,22,false
72549,,Big Brother (UK),4,23,false
72549,,Big Brother (UK),4,24,false
72549,,Big Brother (UK),4,25,false
72549,,Big Brother (UK),4,26,false
72549,,Big Brother (UK),4,27,false
72549,,Big Brother (UK),4,28,false
72549,,Big Brother (UK),4,29,false
72549,,Big Brother (UK),4,30,false
72549,,Big Brother (UK),4,31,false
72549,,Big Brother (UK),4,32,false
72549,,Big Brother (UK),4,33,false
72549,,Big Brother (UK),4,34,false
72549,,Big Brother (UK),4,35,false
72549,,Big Brother (UK),4,36,false
72549,,Big Brother (UK),4,37,false
72549,,Big Brother (UK),4,38,false
72549,,Big Brother (UK),4,39,false
72549,,Big Brother (UK),4,40,false
